"Number","Sample.x","SiO2 (%)","TiO2","Al2O3","Fe2O3","FeO","Fe","MnO","Mn","MgO","CaO","Na2O","K2O","P2O5","SO3","C","CO2","LOI","H2O","Cl","Total","Li","Be","Rb","Sr","Cs","Ba","B","Br","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","Ge","As","Y","Zr","Nb","Mo","Ag","Cd","Sn","Sb","Te","Hf","Ta","W","Au","Hg","Tl","Pb","Bi","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Fe/Mn","Ref","Type","Fe_species","Mn_species","Locality","Age","method","Notes","Sample.y","Formation","Pathway"
4957,"Cola","43",0.95,8.6,NA,19.9,15.47,"0.14",0.11,10.2,"6","2.43","0.4",NA,NA,NA,NA,NA,NA,NA,91.62,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Cola","Gale crater","Gale crater"
4958,"Bonxie","45.6",0.7,11,NA,15.1,11.74,"0.14",0.11,11.8,"6.2","2.19","0.58",NA,NA,NA,NA,NA,NA,NA,93.31,"8.4",NA,"72.3","191.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Bonxie","Gale crater","Gale crater"
4959,"Bonxie","55.4",0.88,13.1,NA,14.8,11.5,"0.13",0.1,6.9,"3.3","3.26","1.21",NA,NA,NA,NA,NA,NA,NA,98.98,"6",NA,"116.2","164.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Bonxie","Gale crater","Gale crater"
4960,"Bonxie","48.6",0.77,10.4,NA,15.8,12.28,"0.15",0.12,9.9,"5.8","2.95","0.98",NA,NA,NA,NA,NA,NA,NA,95.35,"6.8",NA,"73.4","148.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Bonxie","Gale crater","Gale crater"
4961,"Beinn_an_Dudhaich","50.5",0.9,11.8,NA,15.2,11.82,"0.14",0.11,5.6,"8.2","2.57","0.75",NA,NA,NA,NA,NA,NA,NA,95.66,"7.9",NA,"73.5","228.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Beinn_an_Dudhaich","Gale crater","Gale crater"
4962,"Beinn_an_Dudhaich","38",0.66,6.8,NA,11.3,8.78,"0.24",0.19,13.7,"10.9","1.59","0.44",NA,NA,NA,NA,NA,NA,NA,83.63,"34.3",NA,"61.2","222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Beinn_an_Dudhaich","Gale crater","Gale crater"
4963,"Beinn_an_Dudhaich","53.3",0.83,12.4,NA,12.9,10.03,"0.13",0.1,5.9,"6.5","2.65","0.83",NA,NA,NA,NA,NA,NA,NA,95.44,"6.6",NA,"86","199.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Beinn_an_Dudhaich","Gale crater","Gale crater"
4964,"Beinn_Alligin","44.3",0.93,11.3,NA,20.9,16.25,"2.29",1.77,6.3,"3.8","2.31","0.56",NA,NA,NA,NA,NA,NA,NA,92.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Beinn_Alligin","Gale crater","Gale crater"
4965,"Beinn_Alligin","51.1",0.81,11.6,NA,15.6,12.13,"0.13",0.1,6.7,"7.4","2.59","0.71",NA,NA,NA,NA,NA,NA,NA,96.64,"6.2",NA,"93.3","214.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Beinn_Alligin","Gale crater","Gale crater"
4966,"Beinn_Alligin","55.4",0.87,14,NA,12.1,9.41,"0.14",0.11,7.2,"4.3","2.85","0.78",NA,NA,NA,NA,NA,NA,NA,97.64,NA,NA,"84.5","191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Beinn_Alligin","Gale crater","Gale crater"
