"Number","Sample.x","SiO2 (%)","TiO2","Al2O3","Fe2O3","FeO","Fe","MnO","Mn","MgO","CaO","Na2O","K2O","P2O5","SO3","C","CO2","LOI","H2O","Cl","Total","Li","Be","Rb","Sr","Cs","Ba","B","Br","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","Ge","As","Y","Zr","Nb","Mo","Ag","Cd","Sn","Sb","Te","Hf","Ta","W","Au","Hg","Tl","Pb","Bi","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Fe/Mn","Ref","Type","Fe_species","Mn_species","Locality","Age","method","Notes","Sample.y","Formation","Pathway"
2638,"Hamlin_Peak","41.3",0.91,8.7,NA,19.6,15.24,"0.13",0.1,7.5,"7.5","1.95","0.39",NA,NA,NA,NA,NA,NA,NA,87.98,"7.7",NA,"36.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Hamlin_Peak","Gale crater","Gale crater"
2639,"Hamlin_Peak","41.6",0.91,8.9,NA,20.1,15.62,"0.14",0.11,7.2,"7.4","1.98","0.41",NA,NA,NA,NA,NA,NA,NA,88.64,NA,NA,"48.1","126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Hamlin_Peak","Gale crater","Gale crater"
2640,"Hamlin_Peak","42.1",0.92,9.3,NA,20.1,15.62,"0.14",0.11,7.2,"7.4","2.08","0.45",NA,NA,NA,NA,NA,NA,NA,89.69,"1",NA,"34.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Hamlin_Peak","Gale crater","Gale crater"
2641,"Hamlin_Peak","42.6",0.94,9.3,NA,20.5,15.93,"0.15",0.12,7.3,"7.4","2.11","0.48",NA,NA,NA,NA,NA,NA,NA,90.78,"9.3",NA,"29.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Hamlin_Peak","Gale crater","Gale crater"
2642,"aegis_post_1660a","54",1.02,11.3,NA,18.3,14.22,"0.16",0.12,7.5,"1.6","2.68","1.2",NA,NA,NA,NA,NA,NA,NA,97.76,"21.8",NA,"117.6","353.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1660a","Gale crater","Gale crater"
2643,"aegis_post_1660b","46.9",0.95,10.6,NA,20.2,15.7,"0.15",0.12,6.4,"7.6","2.76","0.85",NA,NA,NA,NA,NA,NA,NA,96.41,"16.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1660b","Gale crater","Gale crater"
2644,"aegis_post_1660b","55.3",0.89,13.8,NA,19.1,14.85,"0.15",0.12,8.4,"1.2","2.92","1.67",NA,NA,NA,NA,NA,NA,NA,103.43,"26.5",NA,"9.1","44.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1660b","Gale crater","Gale crater"
2645,"aegis_post_1662a","53.7",0.9,13.4,NA,18.4,14.3,"0.14",0.11,8.7,"1.6","3.11","1.24",NA,NA,NA,NA,NA,NA,NA,101.19,"21.5",NA,"91.6","369.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1662a","Gale crater","Gale crater"
2646,"aegis_post_1662a","53.8",0.87,12.8,NA,22.2,17.26,"0.19",0.15,5.1,"1.6","3.18","1.31",NA,NA,NA,NA,NA,NA,NA,101.05,"21.4",NA,"59.4","355.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1662a","Gale crater","Gale crater"
2647,"aegis_post_1662a","44.7",0.91,9.2,NA,23.9,18.58,"2.74",2.12,6.7,"1","4.15","0.58",NA,NA,NA,NA,NA,NA,NA,93.88,"1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1662a","Gale crater","Gale crater"
2648,"aegis_post_1662a","55.4",0.95,12.2,NA,19,14.77,"0.16",0.12,6.1,"1.7","3.19","1.27",NA,NA,NA,NA,NA,NA,NA,99.97,"24.4",NA,"75.4","268.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1662a","Gale crater","Gale crater"
2649,"Great_Wass_Island","42.4",0.95,9.1,NA,20.2,15.7,"0.14",0.11,7.3,"7.3","1.91","0.34",NA,NA,NA,NA,NA,NA,NA,89.64,"15.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Great_Wass_Island","Gale crater","Gale crater"
2650,"Great_Wass_Island","52.7",0.88,14,NA,18.3,14.22,"0.16",0.12,9.1,"1.9","2.28","0.71",NA,NA,NA,NA,NA,NA,NA,100.03,"19.6",NA,"8.1","281.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Great_Wass_Island","Gale crater","Gale crater"
2651,"Baldpate_Mountain","43.8",0.86,9.9,NA,19.9,15.47,"0.16",0.12,7.3,"8","2.27","0.51",NA,NA,NA,NA,NA,NA,NA,92.7,"24.9",NA,"37.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Baldpate_Mountain","Gale crater","Gale crater"
2652,"Baldpate_Mountain","44.2",0.9,9.7,NA,20,15.55,"0.15",0.12,7.1,"7.6","2.28","0.47",NA,NA,NA,NA,NA,NA,NA,92.4,"8.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Baldpate_Mountain","Gale crater","Gale crater"
2653,"Baldpate_Mountain","43.8",0.93,9.4,NA,19.8,15.39,"0.15",0.12,7.6,"7.9","2.11","0.45",NA,NA,NA,NA,NA,NA,NA,92.14,"15.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Baldpate_Mountain","Gale crater","Gale crater"
2654,"Baldpate_Mountain","43.8",0.92,9.7,NA,19.9,15.47,"0.14",0.11,7.1,"8","2.33","0.46",NA,NA,NA,NA,NA,NA,NA,92.35,"12.7",NA,"36.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Baldpate_Mountain","Gale crater","Gale crater"
2655,"Baldpate_Mountain","43.5",0.88,9.8,NA,20.3,15.78,"0.13",0.1,6.8,"8","2.3","0.46",NA,NA,NA,NA,NA,NA,NA,92.17,"14.9",NA,"31.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Baldpate_Mountain","Gale crater","Gale crater"
2656,"Chebeague_Island","57.4",0.96,14,NA,19.3,15,"0.13",0.1,6.2,"1.5","3.31","1.72",NA,NA,NA,NA,NA,NA,NA,104.52,"29.3",NA,"92.3","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chebeague_Island","Gale crater","Gale crater"
2657,"Chebeague_Island","55.2",0.94,12.7,NA,19.1,14.85,"0.17",0.13,8.3,"2.3","2.97","1.35",NA,NA,NA,NA,NA,NA,NA,103.03,"25.5",NA,"99.8","28.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chebeague_Island","Gale crater","Gale crater"
2658,"Chebeague_Island","55.1",0.97,13.4,NA,19.4,15.08,"0.17",0.13,8.4,"1.8","2.96","1.14",NA,NA,NA,NA,NA,NA,NA,103.34,"18.7",NA,"185.7","392.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chebeague_Island","Gale crater","Gale crater"
2659,"Chebeague_Island","57.3",1.06,12.8,NA,19.7,15.31,"0.14",0.11,6.1,"1.5","3.24","1.76",NA,NA,NA,NA,NA,NA,NA,103.6,"26.8",NA,"11.2","31.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chebeague_Island","Gale crater","Gale crater"
2660,"Chebeague_Island","48.4",0.65,15.4,NA,22,17.1,"0.16",0.12,6.5,"1.8","4.65","0.48",NA,NA,NA,NA,NA,NA,NA,100.04,"8.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Chebeague_Island","Gale crater","Gale crater"
2661,"aegis_post_1665b","54.5",0.85,12,NA,18.2,14.15,"0.13",0.1,6.4,"1.7","2.92","1.37",NA,NA,NA,NA,NA,NA,NA,98.07,"22.8",NA,"89.1","21.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1665b","Gale crater","Gale crater"
2662,"Ingalls_Island","30.2",0.59,5.2,NA,10,7.77,"0.14",0.11,2,"26.2","0.62","0.28",NA,NA,NA,NA,NA,NA,NA,75.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Ingalls_Island","Gale crater","Gale crater"
2663,"Ingalls_Island","38.3",0.72,6.8,NA,13.5,10.49,"0.16",0.12,2.9,"19","1.07","0.44",NA,NA,NA,NA,NA,NA,NA,82.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Ingalls_Island","Gale crater","Gale crater"
2664,"Ingalls_Island","33.3",0.61,5.9,NA,14.3,11.12,"0.13",0.1,2.5,"20","0.9","0.3",NA,NA,NA,NA,NA,NA,NA,77.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Ingalls_Island","Gale crater","Gale crater"
2665,"Ingalls_Island","29.3",0.57,5.4,NA,9.5,7.38,"0.14",0.11,2.2,"26","0.66","0.23",NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Ingalls_Island","Gale crater","Gale crater"
2666,"Ingalls_Island","31.6",0.62,5.7,NA,11.3,8.78,"0.13",0.1,2.4,"24.4","0.79","0.34",NA,NA,NA,NA,NA,NA,NA,77.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Ingalls_Island","Gale crater","Gale crater"
2667,"Ingalls_Island","48",0.89,9.9,NA,18.4,14.3,"0.13",0.1,4.3,"9.3","1.81","0.68",NA,NA,NA,NA,NA,NA,NA,93.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Ingalls_Island","Gale crater","Gale crater"
2668,"Ingalls_Island","36.6",0.66,6.5,NA,12,9.33,"0.16",0.12,3.1,"21.7","1.07","0.31",NA,NA,NA,NA,NA,NA,NA,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Ingalls_Island","Gale crater","Gale crater"
2669,"Bunker_Cove","54.9",1.04,12.2,NA,20.3,15.78,"0.13",0.1,7.2,"1.5","2.69","1.19",NA,NA,NA,NA,NA,NA,NA,101.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Bunker_Cove","Gale crater","Gale crater"
2670,"Bunker_Cove","40.3",0.69,7.8,NA,13.9,10.8,"0.18",0.14,3.8,"19.3","1.19","0.43",NA,NA,NA,NA,NA,NA,NA,87.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Bunker_Cove","Gale crater","Gale crater"
2671,"Bunker_Cove","34.9",0.64,7.6,NA,32.6,25.34,"0.13",0.1,3.1,"11.3","1.6","0.47",NA,NA,NA,NA,NA,NA,NA,92.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Bunker_Cove","Gale crater","Gale crater"
2672,"Bunker_Cove","41.7",0.72,8.1,NA,16.3,12.67,"0.27",0.21,4.6,"15.9","1.47","0.41",NA,NA,NA,NA,NA,NA,NA,89.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Bunker_Cove","Gale crater","Gale crater"
2673,"Bunker_Cove","42.2",0.72,8.3,NA,15.4,11.97,"0.17",0.13,3.6,"18.2","1.39","0.53",NA,NA,NA,NA,NA,NA,NA,90.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Bunker_Cove","Gale crater","Gale crater"
2674,"Cromwell_Cove","52.7",0.84,12,NA,19.4,15.08,"0.13",0.1,8.4,"1.5","3.1","1.07",NA,NA,NA,NA,NA,NA,NA,99.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Cromwell_Cove","Gale crater","Gale crater"
2675,"Cromwell_Cove","54.6",0.9,12.3,NA,19.8,15.39,"0.15",0.12,8.3,"1.4","2.71","1.21",NA,NA,NA,NA,NA,NA,NA,101.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Cromwell_Cove","Gale crater","Gale crater"
2676,"aegis_post_1666a","43.5",0.85,9.1,NA,16.7,12.98,"0.13",0.1,5.2,"11.3","1.77","0.66",NA,NA,NA,NA,NA,NA,NA,89.21,"17.7",NA,"7.8","146.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"aegis_post_1666a","Gale crater","Gale crater"
2677,"Crabtree_Neck","29.9",0.6,6.4,NA,17.3,13.45,"0.22",0.17,4,"13.5","1.25","0.29",NA,NA,NA,NA,NA,NA,NA,73.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Crabtree_Neck","Gale crater","Gale crater"
2678,"Crabtree_Neck","46",0.83,8.8,NA,21.3,16.56,"0.2",0.15,6.1,"1.1","2.34","0.68",NA,NA,NA,NA,NA,NA,NA,87.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Crabtree_Neck","Gale crater","Gale crater"
2679,"Crabtree_Neck","49.5",1.08,8.9,NA,19.8,15.39,"0.13",0.1,8.7,"1.2","2.58","0.82",NA,NA,NA,NA,NA,NA,NA,92.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Crabtree_Neck","Gale crater","Gale crater"
2680,"Crabtree_Neck","49.1",0.84,10.4,NA,20,15.55,"0.18",0.14,9,"1.8","2.53","0.97",NA,NA,NA,NA,NA,NA,NA,94.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Crabtree_Neck","Gale crater","Gale crater"
2681,"Waukeah_Neck","51.9",0.81,9.5,NA,18.9,14.69,"0.14",0.11,9.3,"1.2","2.24","1.03",NA,NA,NA,NA,NA,NA,NA,95.02,"24.9",NA,"88.4","141.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Waukeah_Neck","Gale crater","Gale crater"
2682,"Waukeah_Neck","51",0.87,10.2,NA,19.3,15,"0.13",0.1,9.7,"1.4","2.27","0.91",NA,NA,NA,NA,NA,NA,NA,95.78,"25.3",NA,"94","125.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Waukeah_Neck","Gale crater","Gale crater"
