Number,Sample,SiO2 (%),TiO2,Al2O3,Fe2O3,FeO,Fe,MnO,Mn,MgO,CaO,Na2O,K2O,P2O5,SO3,C,CO2,LOI,H2O,Cl,Total,Li,Be,Rb,Sr,Cs,Ba,B,Br,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Te,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Fe/Mn,Ref,Type,Fe_species,Mn_species,Locality,Age,method,Notes
2494,Patch_Mountain,38.5,0.91,6.8,,26.7,20.75,0.14,0.11,8.5,1.2,1.62,0.38,,,,,,,,84.75,5.5,,,218.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2495,Columbia_Falls,47.7,0.9,10.3,,21.2,16.48,0.15,0.12,5.2,1.2,2.87,0.8,,,,,,,,90.32,17.8,,115.3,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2496,Loon_Stream,30.3,0.73,6.5,,15.5,12.05,0.19,0.15,3.2,17.7,1.3,0.33,,,,,,,,75.75,16,,68.9,124.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2497,New_Sweden,42.9,0.88,8.9,,19.5,15.16,0.14,0.11,7.4,7.5,2,0.4,,,,,,,,89.62,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2498,New_Sweden,43.6,0.92,9.3,,19.5,15.16,0.15,0.12,6.8,7.4,2.26,0.52,,,,,,,,90.45,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2499,New_Sweden,44.5,0.92,9.7,,20,15.55,0.17,0.13,6.5,7.5,2.45,0.64,,,,,,,,92.38,18.1,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2500,New_Sweden,45.8,0.93,10.1,,20.6,16.01,0.17,0.13,6.2,7.2,2.69,0.8,,,,,,,,94.49,18.3,,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2501,New_Sweden,43.6,0.93,9.3,,19.3,15,0.15,0.12,7,7.7,2.21,0.52,,,,,,,,90.71,16,,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2502,Towow,42.1,0.92,8.9,,19.8,15.39,0.14,0.11,7.2,7.7,2.03,0.41,,,,,,,,89.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2503,Towow,42.1,0.92,9.2,,19.4,15.08,0.14,0.11,7.1,7.7,2.06,0.44,,,,,,,,89.06,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2504,Towow,42.3,0.93,9.2,,19.5,15.16,0.13,0.1,7.2,7.6,2.03,0.43,,,,,,,,89.32,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2505,Towow,42.2,0.9,9.1,,19.5,15.16,0.13,0.1,7.5,7.7,2.04,0.43,,,,,,,,89.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2506,Towow,42.2,0.92,8.9,,19.8,15.39,0.14,0.11,7.6,7.6,1.98,0.4,,,,,,,,89.54,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2507,Macworth,43.3,0.92,9.4,,20,15.55,0.15,0.12,7.2,7.7,2.1,0.46,,,,,,,,91.23,16.1,,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2508,Macworth,43.9,0.93,9.5,,20.1,15.62,0.15,0.12,6.9,7.4,2.26,0.55,,,,,,,,91.69,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2509,Macworth,45.3,0.95,9.9,,20.9,16.25,0.17,0.13,6.2,7.2,2.65,0.78,,,,,,,,94.05,14.6,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2510,Macworth,42.6,0.91,9.3,,19.9,15.47,0.14,0.11,7.3,7.7,2.1,0.44,,,,,,,,90.39,14.4,,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2511,Macworth,43.6,0.93,9.3,,19.9,15.47,0.14,0.11,7.1,7.6,2.22,0.53,,,,,,,,91.32,15.7,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2512,Macworth,45,0.95,9.9,,20.7,16.09,0.16,0.12,6.5,7.5,2.55,0.73,,,,,,,,93.99,17.9,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2513,Macworth,42.3,0.93,9,,19.9,15.47,0.14,0.11,7.6,7.6,2.02,0.43,,,,,,,,89.92,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2514,Macworth,43.3,0.94,9.4,,20.4,15.86,0.15,0.12,7.1,7.6,2.15,0.5,,,,,,,,91.54,13.4,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2515,Macworth,44.7,0.95,9.7,,20.5,15.93,0.16,0.12,6.6,7.4,2.44,0.65,,,,,,,,93.1,17.6,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2516,Macworth,44.2,0.96,9.5,,20.1,15.62,0.14,0.11,7,7.4,2.32,0.58,,,,,,,,92.2,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2517,Depot_Mountain,43.2,1,9.4,,19.8,15.39,0.13,0.1,7.4,7.5,2.19,0.51,,,,,,,,91.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2518,Depot_Mountain,44.3,1.03,10,,20.4,15.86,0.14,0.11,7,7.2,2.44,0.62,,,,,,,,93.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2519,Depot_Mountain,45.6,1,10.7,,20.5,15.93,0.16,0.12,6.4,7.2,2.77,0.83,,,,,,,,95.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2520,Depot_Mountain,44.3,0.98,10,,20.4,15.86,0.14,0.11,7,7.4,2.38,0.57,,,,,,,,93.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2521,Depot_Mountain,44.4,0.99,10,,20.2,15.7,0.15,0.12,5.9,8.3,2.46,0.75,,,,,,,,93.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2522,Depot_Mountain,45.8,0.96,10.5,,20.5,15.93,0.17,0.13,5.9,6.8,3.02,1.06,,,,,,,,94.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2523,Leighton,42.1,0.94,9.2,,19.8,15.39,0.14,0.11,7.6,7.7,1.99,0.39,,,,,,,,89.86,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2524,Leighton,42.1,0.92,9.1,,19.4,15.08,0.13,0.1,7.6,7.6,2.05,0.41,,,,,,,,89.31,9.6,,,121.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2525,Leighton,42,0.95,8.9,,19.7,15.31,0.13,0.1,7.6,7.6,2.03,0.43,,,,,,,,89.34,11.4,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2526,Carrassett,42.8,0.94,9.1,,19.3,15,0.14,0.11,7.1,7.6,2.1,0.45,,,,,,,,89.53,9.2,,4.4,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2527,Carrassett,43.2,0.99,9.1,,19.9,15.47,0.14,0.11,7.2,7.7,2.15,0.48,,,,,,,,90.86,9.6,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2528,Carrassett,42.7,0.94,9.3,,19.6,15.24,0.14,0.11,7.2,7.7,2.11,0.45,,,,,,,,90.14,9.5,,27.3,129.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2529,Carrassett,41.9,0.92,9.3,,19.8,15.39,0.14,0.11,7.5,7.6,2.05,0.43,,,,,,,,89.64,9.4,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2530,Carrassett,42.4,0.94,9.4,,19.7,15.31,0.14,0.11,7.4,7.6,2.1,0.45,,,,,,,,90.13,9.6,,,124.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2531,Carrassett,42.7,0.95,9.4,,19.9,15.47,0.14,0.11,7.3,7.6,2.12,0.47,,,,,,,,90.58,9.9,,36.1,133.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2532,Carrassett,42.7,0.96,9.5,,20,15.55,0.15,0.12,7.3,7.8,2.09,0.45,,,,,,,,90.95,9.5,,34.3,129.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2533,Carrassett,43,0.94,9.6,,20.2,15.7,0.15,0.12,7.4,7.7,2.13,0.46,,,,,,,,91.58,11,,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2534,Carrassett,42.9,0.96,9.5,,20.2,15.7,0.15,0.12,7.3,7.6,2.11,0.46,,,,,,,,91.18,1,,35.9,124.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2535,Carrassett,42.2,0.95,9.3,,19.9,15.47,0.14,0.11,7.6,7.7,1.99,0.4,,,,,,,,90.18,8.6,,,123.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2536,Hersey,36.7,0.68,7.1,,15,11.66,0.14,0.11,3.4,17.5,1.14,0.62,,,,,,,,82.28,29.4,,94.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2537,Swanback,42.3,0.92,9.4,,19.6,15.24,0.14,0.11,7.2,7.6,2.03,0.42,,,,,,,,89.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2538,Swanback,42.6,0.91,9.4,,19.6,15.24,0.13,0.1,7,7.7,2.07,0.44,,,,,,,,89.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2539,Swanback,44.1,0.94,9.6,,19.7,15.31,0.15,0.12,6.8,7.6,2.29,0.55,,,,,,,,91.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2540,Swanback,44.8,0.94,9.8,,20.1,15.62,0.16,0.12,6.6,7.4,2.44,0.64,,,,,,,,92.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2541,Swanback,41.8,0.93,9.5,,19.5,15.16,0.13,0.1,7,7.7,2.1,0.41,,,,,,,,89.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2542,Swanback,42.8,0.94,9.3,,19.6,15.24,0.13,0.1,7.2,7.6,2.04,0.44,,,,,,,,90.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2543,Swanback,42.7,0.92,9.3,,19.7,15.31,0.14,0.11,7.1,7.7,2.02,0.43,,,,,,,,90.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2544,Swanback,42.3,0.92,9.3,,19.8,15.39,0.15,0.12,7.4,7.5,2.04,0.44,,,,,,,,89.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2545,Swanback,43.3,0.94,9.3,,19.9,15.47,0.15,0.12,7,7.6,2.19,0.52,,,,,,,,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2546,Swanback,42.9,0.92,9.6,,20.8,16.17,0.16,0.12,6.2,7.9,2.3,0.55,,,,,,,,91.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2547,Mattawamkeag,42.3,0.98,9.3,,19.8,15.39,0.13,0.1,7.2,7.6,2.05,0.43,,,,,,,,89.79,1.2,,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2548,Mattawamkeag,42.8,0.95,9.5,,20,15.55,0.14,0.11,7,7.5,2.23,0.52,,,,,,,,90.64,14.5,,34.6,126.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2549,Mattawamkeag,44.2,0.97,9.8,,20.3,15.78,0.15,0.12,6.9,7.5,2.35,0.58,,,,,,,,92.75,11,,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2550,Mattawamkeag,44.6,0.94,10.4,,20.5,15.93,0.17,0.13,6.5,7.5,2.61,0.72,,,,,,,,93.94,11.9,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2551,Mattawamkeag,42.6,0.96,9.4,,19.6,15.24,0.13,0.1,7.5,7.6,2.08,0.43,,,,,,,,90.3,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2552,aegis_post_1631a,55.1,1.08,13.3,,18,13.99,0.13,0.1,6.4,2,2.92,1.33,,,,,,,,100.26,2.1,,119.3,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2553,aegis_post_1631a,48,0.94,13.1,,16.7,12.98,0.17,0.13,4.1,10.6,2.42,1.02,,,,,,,,97.05,22.9,,4.8,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2554,Spring_Point_CCAM,50.5,0.91,10,,18.8,14.61,0.26,0.2,7.4,1.6,2.66,0.81,,,,,,,,92.94,2.5,,31.3,131.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2555,Spring_Point_CCAM,52,0.89,10.6,,19.5,15.16,0.22,0.17,7.7,1.6,2.3,0.74,,,,,,,,95.55,19.1,,93.5,143.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2556,Hardwood_Mountain,45.5,0.91,10.6,,20.2,15.7,0.17,0.13,6.4,7.5,2.62,0.71,,,,,,,,94.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2557,Hardwood_Mountain,31.7,0.62,5.9,,10.5,8.16,0.13,0.1,2.7,25.4,0.85,0.36,,,,,,,,78.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2558,Hardwood_Mountain,43.9,0.78,9.6,,16.1,12.51,0.13,0.1,4.3,12.7,1.61,0.56,,,,,,,,89.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2559,Hardwood_Mountain,44.9,0.77,8.5,,17.8,13.84,0.19,0.15,5.9,9.4,1.55,0.38,,,,,,,,89.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2560,Spragueville_ccam,42.1,0.92,8.8,,19.4,15.08,0.15,0.12,7.2,7.8,1.98,0.4,,,,,,,,88.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2561,Spragueville_ccam,42.2,0.9,8.7,,19.7,15.31,0.14,0.11,7.5,7.5,1.94,0.41,,,,,,,,88.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2562,Spragueville_ccam,41.9,0.9,8.7,,19.7,15.31,0.14,0.11,7.5,7.6,1.96,0.39,,,,,,,,88.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2563,Spragueville_ccam,43.5,0.9,9,,19.6,15.24,0.14,0.11,7.2,7.5,2.15,0.45,,,,,,,,90.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2564,Spragueville_ccam,42.8,0.88,9.5,,20.1,15.62,0.14,0.11,6.9,7.6,2.31,0.56,,,,,,,,90.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2565,Spragueville_ccam,41.8,0.9,8.7,,19.6,15.24,0.14,0.11,7.4,7.7,1.88,0.35,,,,,,,,88.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2566,Spragueville_ccam,42.1,0.91,8.8,,20.1,15.62,0.14,0.11,7.3,7.5,1.96,0.4,,,,,,,,89.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2567,Spragueville_ccam,42.5,0.96,8.8,,20.1,15.62,0.14,0.11,7.1,7.4,2.09,0.48,,,,,,,,89.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2568,Spragueville_ccam,41.5,0.91,8.5,,19.6,15.24,0.14,0.11,7.6,7.6,1.88,0.36,,,,,,,,88.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2569,Ripogenus_ccam,42,0.9,8.7,,19.8,15.39,0.13,0.1,7.2,7.6,2.19,0.44,,,,,,,,88.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2570,Ripogenus_ccam,43.7,0.88,9.4,,20.3,15.78,0.14,0.11,7.4,7.5,2.27,0.48,,,,,,,,92.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2571,Ripogenus_ccam,44.1,0.92,9.4,,21,16.32,0.14,0.11,6.9,7.5,2.52,0.62,,,,,,,,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2572,Ripogenus_ccam,43.7,0.94,9.5,,21.2,16.48,0.13,0.1,6.7,7.2,2.45,0.57,,,,,,,,92.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2573,Ripogenus_ccam,46,0.78,10.1,,21.5,16.71,0.19,0.15,6.2,7.3,2.86,1,,,,,,,,95.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2574,Ripogenus_ccam,43.7,0.86,9.6,,20.9,16.25,0.16,0.12,6.9,7.6,2.58,0.64,,,,,,,,92.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2575,Holmes_Hole,44.2,0.67,9.6,,17.8,13.84,0.2,0.15,7.7,8.8,2.93,0.08,,,,,,,,91.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2576,Holmes_Hole,40.6,0.89,8.2,,19.5,15.16,0.14,0.11,7.6,6.7,1.85,0.33,,,,,,,,85.81,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2577,Holmes_Hole,45,0.63,13.5,,16.7,12.98,0.19,0.15,5,11,3.27,0.05,,,,,,,,95.34,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2578,Spragueville_ccam_2,41.4,0.9,9,,19.5,15.16,0.13,0.1,7.5,7.8,1.91,0.36,,,,,,,,88.5,8.1,,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2579,Spragueville_ccam_2,41.3,0.91,8.6,,19.9,15.47,0.14,0.11,7.5,7.6,2.06,0.42,,,,,,,,88.43,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2580,Spragueville_ccam_2,41.3,0.92,8.3,,20.3,15.78,0.14,0.11,7.7,7.5,1.95,0.4,,,,,,,,88.51,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2581,Spragueville_ccam_2,41.5,0.9,8.7,,19.6,15.24,0.13,0.1,7.9,7.6,1.97,0.4,,,,,,,,88.7,8.5,,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2582,Spragueville_ccam_2,41.1,0.93,8.8,,20,15.55,0.13,0.1,7.7,7.8,1.9,0.33,,,,,,,,88.69,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2583,Spragueville_ccam_2,41.1,0.92,8.5,,20,15.55,0.13,0.1,8,7.5,1.85,0.36,,,,,,,,88.36,8.1,,,124.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2584,Spragueville_ccam_2,41.4,0.9,8.8,,20.1,15.62,0.13,0.1,7.8,7.6,1.94,0.35,,,,,,,,89.02,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2585,Spragueville_ccam_2,41.4,0.92,8.8,,20.1,15.62,0.13,0.1,7.8,7.6,1.88,0.36,,,,,,,,88.99,8.5,,37.9,124.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2586,Greenvale_Cove,41.7,0.91,8.7,,18.8,14.61,0.13,0.1,7.4,7.9,1.96,0.35,,,,,,,,87.85,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2587,Greenvale_Cove,41.5,0.93,8.9,,19.7,15.31,0.13,0.1,7.5,7.7,1.95,0.38,,,,,,,,88.69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2588,Greenvale_Cove,42.2,0.95,8.9,,19.9,15.47,0.14,0.11,7.2,7.5,2.09,0.42,,,,,,,,89.3,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2589,Greenvale_Cove,41.7,0.91,9,,19.7,15.31,0.14,0.11,7.4,7.5,1.95,0.39,,,,,,,,88.69,9.6,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2590,Greenvale_Cove,42.1,0.92,9.3,,19.9,15.47,0.14,0.11,7.1,7.7,2.13,0.45,,,,,,,,89.74,11.4,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
2591,Greenvale_Cove,42.1,0.92,9.3,,19.8,15.39,0.14,0.11,7.2,7.7,2.16,0.45,,,,,,,,89.77,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
