Sample,Formation,Pathway
Sta41,Freshwater,Freshwater
Sta42,Freshwater,Freshwater
Sta43,Freshwater,Freshwater
Sta44,Freshwater,Freshwater
Sta45,Freshwater,Freshwater
Sta46,Freshwater,Freshwater
Sta47,Freshwater,Freshwater
Sta48,Freshwater,Freshwater
Sta49,Freshwater,Freshwater
Sta50,Freshwater,Freshwater
Sta72Mean,Freshwater,Freshwater
Sta1Mean,Freshwater,Freshwater
Sta5Mean,Freshwater,Freshwater
Sta8Mean,Freshwater,Freshwater
Sta24Mean,Freshwater,Freshwater
Sta27Mean,Freshwater,Freshwater
Sta49Mean,Freshwater,Freshwater
115_11,Marine,Hydrogenetic
115_3,Marine,Hydrogenetic
118_11,Marine,Hydrogenetic
118_3,Marine,Hydrogenetic
127_11,Marine,Hydrogenetic
127_3,Marine,Hydrogenetic
16R,Marine,Hydrogenetic
16_11,Marine,Hydrogenetic
16_3,Marine,Hydrogenetic
27R,Marine,Hydrogenetic
27_11,Marine,Hydrogenetic
27_3,Marine,Hydrogenetic
50_1,Marine,Hydrogenetic
50_2,Marine,Hydrogenetic
50_3,Marine,Hydrogenetic
50_4,Marine,Hydrogenetic
66_1,Marine,Hydrogenetic
66_2,Marine,Hydrogenetic
66_3,Marine,Hydrogenetic
66_5,Marine,Hydrogenetic
66_6,Marine,Hydrogenetic
66_7,Marine,Hydrogenetic
B18_11,Marine,Hydrogenetic
B18_11,Marine,Hydrogenetic
B18_3,Marine,Hydrogenetic
39_1b,Marine,Hydrogenetic
39_2,Marine,Hydrogenetic
5186E,Marine,Diagenetic
5186C,Marine,Diagenetic
5200T,Marine,Diagenetic
5201E,Marine,Diagenetic
5201P,Marine,Diagenetic
5193E,Marine,Diagenetic
1352E,Marine,Diagenetic
1352C,Marine,Diagenetic
DMSA-DJ1-1CA1,Marine,Mixed
DMSA-DJ2-1CA1,Marine,Mixed
DMSA-DJ3-1CA1,Marine,Mixed
DMSA-DJ4-1CA1,Marine,Mixed
DMSA-DJ6-1CA1,Marine,Mixed
DMSA-DJ7-1CA1,Marine,Mixed
DMSA-DJ8-1CA1,Marine,Mixed
DMSA-DJ9-1CA1,Marine,Mixed
DMSA-DJ10-1CA1,Marine,Mixed
DMSA-DJ11-1CA1,Marine,Mixed
DMSA-DJ13-1CA1,Marine,Mixed
DMSA-DJ14-1CA1,Marine,Mixed
