Number,Sample,Formation,Pathway
481,73-123TA15-18,Freshwater,Freshwater
482,73-123TA18-21,Freshwater,Freshwater
483,73-123TA21-24,Freshwater,Freshwater
484,73-123TA24-27,Freshwater,Freshwater
485,73-123TB0-4,Freshwater,Freshwater
486,73-123TB4-7,Freshwater,Freshwater
487,73-123TB7-10,Freshwater,Freshwater
488,73-123TB10-12,Freshwater,Freshwater
489,73-123TB12-14,Freshwater,Freshwater
490,73-123TB14-17,Freshwater,Freshwater
491,73-123TB17-20,Freshwater,Freshwater
492,73-123TB20-23,Freshwater,Freshwater
493,73-123TB23-25,Freshwater,Freshwater
494,73-123TB25-27,Freshwater,Freshwater
495,SFN-1,Freshwater,Freshwater
496,SFN-3,Freshwater,Freshwater
497,SFN-6,Freshwater,Freshwater
498,SFN-8,Freshwater,Freshwater
499,SFN-9,Freshwater,Freshwater
500,SFN-10,Freshwater,Freshwater
501,SFN-11,Freshwater,Freshwater
502,SFNA,Freshwater,Freshwater
503,SFGS-1,Freshwater,Freshwater
504,SFGS-3,Freshwater,Freshwater
505,SFGS-9,Freshwater,Freshwater
506,SFGS-11,Freshwater,Freshwater
507,SFGSA,Freshwater,Freshwater
508,SFLCA,Freshwater,Freshwater
509,Sta1,Freshwater,Freshwater
510,Tr36,Freshwater,Freshwater
511,Tr41,Freshwater,Freshwater
512,Tr47,Freshwater,Freshwater
513,Tr54,Freshwater,Freshwater
514,Tr55,Freshwater,Freshwater
515,Tr61,Freshwater,Freshwater
516,Tr69,Freshwater,Freshwater
517,Tr74,Freshwater,Freshwater
518,Sta2,Freshwater,Freshwater
519,Sta3,Freshwater,Freshwater
520,Sta4,Freshwater,Freshwater
521,Tr5-1,Freshwater,Freshwater
522,Tr5-4,Freshwater,Freshwater
523,Tr5-7,Freshwater,Freshwater
524,Tr5-10,Freshwater,Freshwater
525,Sta6,Freshwater,Freshwater
526,Sta7,Freshwater,Freshwater
527,Sta8,Freshwater,Freshwater
528,Tr8-11,Freshwater,Freshwater
529,Tr8-12,Freshwater,Freshwater
530,Tr8-13,Freshwater,Freshwater
531,Tr8-14,Freshwater,Freshwater
532,Sta9,Freshwater,Freshwater
533,Sta10,Freshwater,Freshwater
534,Sta11,Freshwater,Freshwater
535,Sta12,Freshwater,Freshwater
536,Sta13,Freshwater,Freshwater
537,Sta14,Freshwater,Freshwater
538,Sta15,Freshwater,Freshwater
539,Sta16,Freshwater,Freshwater
540,Sta17,Freshwater,Freshwater
541,Sta18,Freshwater,Freshwater
542,Sta19,Freshwater,Freshwater
543,Sta20,Freshwater,Freshwater
544,Sta21,Freshwater,Freshwater
545,Sta22,Freshwater,Freshwater
546,Sta23,Freshwater,Freshwater
547,Sta24,Freshwater,Freshwater
548,Tr24-1,Freshwater,Freshwater
549,Tr24-5,Freshwater,Freshwater
550,Tr24-99,Freshwater,Freshwater
551,Tr24-14,Freshwater,Freshwater
552,Sta25,Freshwater,Freshwater
553,Sta26,Freshwater,Freshwater
554,Sta27,Freshwater,Freshwater
555,Tr27-1,Freshwater,Freshwater
556,Tr27-2,Freshwater,Freshwater
557,Tr27-3,Freshwater,Freshwater
558,Tr27-4,Freshwater,Freshwater
559,Sta28,Freshwater,Freshwater
560,Sta29,Freshwater,Freshwater
561,Sta30,Freshwater,Freshwater
562,Sta31,Freshwater,Freshwater
563,Sta32,Freshwater,Freshwater
564,Sta33,Freshwater,Freshwater
565,Sta34,Freshwater,Freshwater
566,Sta35,Freshwater,Freshwater
567,Sta37,Freshwater,Freshwater
568,Sta38,Freshwater,Freshwater
569,Sta39,Freshwater,Freshwater
570,Sta40,Freshwater,Freshwater
571,Sta41,Freshwater,Freshwater
572,Sta42,Freshwater,Freshwater
573,Sta43,Freshwater,Freshwater
574,Sta44,Freshwater,Freshwater
575,Sta45,Freshwater,Freshwater
576,Sta46,Freshwater,Freshwater
577,Sta47,Freshwater,Freshwater
578,Sta48,Freshwater,Freshwater
579,Sta49,Freshwater,Freshwater
580,Sta50,Freshwater,Freshwater
581,Sta72Mean,Freshwater,Freshwater
582,Sta1Mean,Freshwater,Freshwater
583,Sta5Mean,Freshwater,Freshwater
584,Sta8Mean,Freshwater,Freshwater
585,Sta24Mean,Freshwater,Freshwater
586,Sta27Mean,Freshwater,Freshwater
587,Sta49Mean,Freshwater,Freshwater
588,115_11,Marine,Hydrogenetic
589,115_3,Marine,Hydrogenetic
590,118_11,Marine,Hydrogenetic
591,118_3,Marine,Hydrogenetic
592,127_11,Marine,Hydrogenetic
593,127_3,Marine,Hydrogenetic
594,16R,Marine,Hydrogenetic
